Authors;Title;Publication;Volume;Number;Pages;Year;Publisher;Abstract;Keywords;Links;DOI
"De Filippi, Primavera; ";Blockchain-based Crowdfunding: what impact on artistic production and art consumption?;Observatório Itaú Cultural;;19;;2015;;Crowdfunding relies on the contribution of a large number of individuals in order to finance the production of a particular work. Already a few crowdfunding platforms have been deployed on the blockchain, rewarding people?s financial contributions to a project with actual shares of the project. Their interests become therefore more aligned with that of the author, since anyone investing in the project becomes an active shareholder, whose return on investment ultimately depends on the success or failure of that project.;blockchain, cryptocurrency, cryptoequity, artistic production, crowdfunding, creative commons;https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID2725373_code1101445.pdf?abstractid=2725373&mirid=1;https://ssrn.com/abstract=2725373
"Rashid, Mahmood A; Deo, Krishneel; Prasad, Divnesh; Singh, Kunal; Chand, Sarvesh; Assaf, Mansour; ";TEduChain: A blockchain-based platform for crowdfunding tertiary education;The Knowledge Engineering Review;35;;;2020;Cambridge University Press;Blockchain is an emerging technology framework for creating and storing transaction in distributed ledgers with a high degree of security and reliability. In this paper, we present a blockchain-based platform to create and store contracts in between students and their higher education sponsors facilitated by intermediary brokers denoted as fundraisers. The sponsorship might be in any form, such as scholarship, donation, or loan. The fund will be arranged and managed by a group of competitive fundraisers who will hold the distributed ledgers and act as the miners in the blockchain network.;;;https://doi.org/10.1017/S0269888920000326
"Nguyen, Loan TQ; Hoang, Thinh G; Do, Linh H; Ngo, Xuan T; Nguyen, Phuong HT; Nguyen, Giang DL; Nguyen, Giang NT; ";The role of blockchain technology-based social crowdfunding in advancing social value creation;Technological Forecasting and Social Change;170;;120898;2021;Elsevier;This study investigates the practical applications of blockchain technology in socially oriented crowdfunding platforms (SCPs). In recent years, SCPs have grown due to their perceived benefits compared to traditional funding channels. However, skepticism remains regarding the potential for the further development of crowdfunding platforms, especially SCPs, due to restrictions on attracting investment as well as concerns related to transparency, reliability, and trustworthiness. The recent applications of blockchain technology in crowdfunding promise a possible solution to current obstacles, and may facilitate SCPs. Employing a qualitative research approach based on three case studies, this study addresses how blockchain technology can be used to facilitate the social value creation of crowdfunding when adopted as an alternative infrastructure. Accordingly, this study identifies both the facilitators of the social value creation process through blockchain technology (e.g., reducing operational costs, increasing trust and transparency, and cultivating a broader crowdfunding community) and the barriers of this application in terms of development costs and legal requirements. In addition to answering calls to investigate the role of blockchains in facilitating social activities, this study expands the emerging literature by demonstrating the practical applications of blockchain use in crowdfunding.;"Crowdfunding; Blockchain; Social crowdfunding; Social value creation";;https://doi.org/10.1016/j.techfore.2021.120898
"Hartmann, Felix; Grottolo, Gloria; Wang, Xiaofeng; Lunesu, Maria Ilaria; ";Alternative fundraising: success factors for blockchain-based vs. conventional crowdfunding;2019 IEEE international workshop on blockchain oriented software engineering (IWBOSE);;;38-43;2019;IEEE;Blockchain-based crowdfunding is an emerging economic phenomenon and a state-of-the-art strategy to finance ventures. It bears similarity to conventional crowdfunding, but has its own unique characteristics. Therefore the success factors that affect the outcome of traditional crowdfunding may have a different impact on blockchain-based crowdfunding. Despite that the number of blockchain-based crowdfunding campaigns has increased drastically in the past few years, there is a lack of good understanding of what the success factors are for them in comparison to the ones for conventional crowdfunding. Such understanding is crucial for companies to design their blockchain-based fundraising initiatives properly and facilitate potential investors to seek main signals and drivers of outstanding projects. Furthermore it could help regulators and market participants to understand how the existing regulatory framework applies to blockchain-based crowdfunding. Due to specific characteristics of blockchain-based crowdfunding, regulatory frameworks may require potential re-interpretation of requirements to allow an effective application of regulations. To fill this knowledge gaps, we have reviewed a set of relevant literature on success factors for conventional and blockchain-based crowdfunding. The result of this literature review sheds light on the directions for future research and development. The contribution of our work is a better understanding of the distinctions and similarities of blockchain-based crowdfunding compared to traditional crowdfunding.;"Crowdfunding; non-financial vs financial; Blockchain-based crowdfunding";https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8666515;
"Vakilinia, Iman; Badsha, Shahriar; Sengupta, Shamik; ";Crowdfunding the insurance of a cyber-product using blockchain;2018 9th IEEE Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON);;;964-970;2018;IEEE;Organizations are interested in transferring their cyber-risks to insurers aiming to mitigate the cost of cyber-threats. However, cyber-insurance has not been widely accepted due to several obstacles. First, the lack of reliable data to measure the cyber-risks makes it hard to calculate the insurance premium. Second, there are legal and procedural hurdles for assessing the organizations security posture deterring insurer for auditing. On the other hand, the blockchain technology has been extensively popularized due to its ability to provide transparency and security. Blockchain applies the distributed ledger to store transaction histories, and the information is stored across a network of computers instead of on a single server. In order to improve the application of the cyber-insurance, in this research, we propose a new framework to insure a cyber-product using the blockchain technology. First, a vendor initiates a request for insuring a cyber-product, then the interested insurers participate in a sealed-bid auction by bidding their preferred premium for the insurance service. The auction winners will be selected as the insurers, and they receive tokens in return of their obligations. In the case of an indemnity request, the auditor checks the validity of a request, then calls the claim function to retrieve the corresponding amount from the funds collected from the insurers. Furthermore, we propose a new method to implement a sealed-bid auction for the insurance crowdfunding in smart contract.;"Cyber-insurance; Blockchain; Crowdfunding; Sealed-bid auction";https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8796515;
"Creta, Fabio; Tenca, Francesca; ";Tokenomics: A new opportunity in the Real Estate business? A qualitative approach to crowdfunding and blockchain interaction;First Monday;;;;2021;;This article discusses how platform administrators operating within the ecosystem of real estate crowdfunding could implement technology innovations, such as blockchains or the use of digital tokens, and list the benefits that could be obtained by the real estate sector. We introduce an exploratory analysis of multiple case studies, consisting of 12 businesses that manage real estate crowdfunding platforms. The information gathered through interviews provides an idea of how the shared opinions of professionals in the trade is identified with factors and variables that affect the opening of this alternative finance segment. In terms of implications, this is one of the first studies exploring the adoption of innovative technologies by real estate crowdfunding platforms and, as far as we know, it is the first to analyze the impact of tokenization;"real estate crowdfunding; blockchain; tokenomics; tokenization";https://journals.uic.edu/ojs/index.php/fm/article/view/10699/10496;
"Fridgen, Gilbert; Regner, Ferdinand; Schweizer, André; Urbach, Nils; ";Don't Slip on the Initial Coin Offering (ICO): A Taxonomy for a Blockchain-enabled Form of Crowdfunding;26th European Conference on Information Systems (ECIS);;;;2018;;Blockchain is rapidly evolving and there is an increasing interest in the technology in both practice and academia. Recently, a blockchain use case called Initial Coin Offering (ICO) draws a lot of attention. ICO is a novel form of crowdfunding that utilizes blockchain tokens to allow for truly peer-to-peer investments. Although, more than 4.5 billion USD have been invested via ICOs, the phenomenon is poorly understood. Scientific research lacks a structured classification of ICOs to provide further insights into their characteristics. We bridge this gap by developing a taxonomy based on real-world ICO cases, related literature, and expert interviews. Further, we derive and discuss prevailing ICO archetypes. Our findings contribute to theory development in the field of ICOs by enriching the descriptive knowledge, identifying design options, deriving ICO archetypes, and laying the foundation for further research. Additionally, our research provides several benefits for practitioners. Our proposed taxonomy illustrates that there is no one-size-fits-all model of ICOs and might support the decisionmaking process of start-ups, investors and regulators. The proposed ICO archetypes indicate how common ICOs are designed and thus might serves as best practices. Finally, our analysis indicates that ICOs represent a valid alternative to traditional crowdfunding approaches.;Blockchain, Smart Contract, Initial Coin Offering (ICO), Token, Token Sales, Cryptocurrency, Crowdfunding, Taxonomy. ;https://www.fim-rc.de/Paperbibliothek/Veroeffentlicht/730/wi-730.pdf;
"Mohsin, Magda Ismail Abdel; Muneeza, Aishath; ";Integrating waqf crowdfunding into the blockchain;"Fintech in Islamic Finance: Theory and Practice; Routledge: Abingdon, UK";;;64;2019;;This chapter presents the revival of waqf in both its forms - immovable and movable - to demonstrate the potential of waqf in order to integrate it with contemporary fintech innovations like crowdfunding and blockchain. With reference to blockchain technology, which is a decentralised public ledger, it has been used for different applications, from security, shipping, to commercial transactions. WaqfCoin, using modern technology, which integrates crowdfunding and blockchain, will promote charitable endowment. In Malaysia using one of the ten stipulations which is istibdal, an old waqf school was converted into a college known as Al-Mashoor Maahad in Penang. There has been huge support for different schemes through online waqf donation based on the waqf shares model. The practice of creating waqf shares in Muslim-majority as well as Muslim-minority countries provides successful cases in raising funds to meet the different needs of various communities.;;;
"Creta, Fabio; Mazaj, Jelena; ";Can FinTech Progress the Real Estate Sector? The Disruptive Role of Crowdfunding & Blockchain: A Systematic Literature Review;European Journal of Islamic Finance;;17;;2021;;The aim of this article is to examine the literature on the role of two dominant players within the FinTech world in recent years: on the one hand, crowdfunding and on the other, blockchain. Our focus will be on the traditionally static and non-innovative real estate sector, trying to analyse how the latter can benefit from the use and interaction between these two new actors. Through a systematic literature review (SLR), 143 scientific articles based on current literature have been identified to better understand the topic. The information collected from the selected articles is presented and summarised in specific tables and graphs for a more immediate understanding. The qualitative research software Nvivo was also used. This research found 43 out of 143 articles analyse the phenomenon of crowdfunding based on blockchain technology from an economic point of view. After the descriptive results through qualitative analysis, the evidence that emerged is that none of the articles analysed deals with the issue in terms of real estate to understand possible practical implications and further theoretical contributions. This research work suggests to investors who intend to invest in real estate, how new investment methodologies could bring enormous benefits to a sector that is less prone to innovation and traditionally static, considering how the use of new technologies applied to alternative financing instruments would make real estate investments much more attractive and accessible. This study contributes to advancing knowledge of the FinTech world, specifically of new alternative financing instruments such as crowdfunding and new emerging technologies such as blockchain, from a theoretical point of view. As far as the authors are aware, this is the first study that systematises the international literature on the subject, highlighting the main contributions written on the subject, always keeping a focus on real estate.;FinTech, Crowdfunding, Blockchain, Real Estate, Systematic Literature Review;https://www.ojs.unito.it/index.php/EJIF/article/view/5323/5066;
"Arnold, Laurin; Brennecke, Martin; Camus, Patrick; Fridgen, Gilbert; Guggenberger, Tobias; Radszuwill, Sven; Rieger, Alexander; Schweizer, André; Urbach, Nils; ";Blockchain and initial coin offerings: blockchain?s implications for crowdfunding;Business transformation through blockchain;;;233-272;2019;Springer;Interest in Blockchain technology is growing rapidly and at a global scale. As scrutiny from practitioners and researchers intensifies, various industries and use cases are identified that may benefit from adopting Blockchain. In this context, peertopeer (P2P) funding through initial coin offerings (ICOs) is often singled out as one of the most visible and promising use cases. ICOs are novel forms of crowdfund ing that collect funds in exchange for socalled Blockchain tokens. These tokens can represent any traditional form of underlying asset and have already been used, among others, to denote shares in a company, user reputations in online systems, deposits of fiat currencies, and balances in cryptocurrency systems. Importantly, ICOs allow for P2P investments without intermediaries. In this chapter, we explain the fundamentals of ICOs, highlight their differences to traditional financing, and analyze their pote ntial impacts on crowdfunding.;"Blockchain; Initial Coin Offering; ICO; Distributed L Cryptocurrency; Cryptotoken; Use Case Analysis";https://www.fim-rc.de/Paperbibliothek/Veroeffentlicht/843/wi-843.pdf;
